onset	duration	sample	value
0	n/a	0	boundary
3.37	0.002	1685	21
4.878	0.002	2439	22
6.412	0.002	3206	11
6.74	0.002	3370	211
7.93	0.002	3965	22
8.756	0.002	4378	122
9.52	0.002	4760	11
10.396	0.002	5198	111
11.08	0.002	5540	11
11.548	0.002	5774	111
12.562	0.002	6281	12
12.972	0.002	6486	212
14.072	0.002	7036	11
14.652	0.002	7326	111
15.596	0.002	7798	21
16.372	0.002	8186	221
17.046	0.002	8523	21
17.524	0.002	8762	221
21.276	0.002	10638	221
22.804	0.002	11402	221
27.14	0.002	13570	11
27.914	0.002	13957	111
28.572	0.002	14286	11
29.154	0.002	14577	111
30.082	0.002	15041	22
30.73	0.002	15365	222
31.548	0.002	15774	12
32.002	0.002	16001	212
33.048	0.002	16524	12
33.49	0.002	16745	212
34.64	0.002	17320	12
35.106	0.002	17553	212
36.148	0.002	18074	22
36.778	0.002	18389	222
37.732	0.002	18866	22
38.418	0.002	19209	122
39.182	0.002	19591	12
40.474	0.002	20237	212
40.748	0.002	20374	11
41.218	0.002	20609	111
42.24	0.002	21120	12
42.858	0.002	21429	212
43.808	0.002	21904	21
44.514	0.002	22257	121
45.392	0.002	22696	11
45.762	0.002	22881	111
46.932	0.002	23466	21
47.642	0.002	23821	121
48.45	0.002	24225	12
49.186	0.002	24593	212
49.934	0.002	24967	12
50.37	0.002	25185	212
51.408	0.002	25704	22
51.938	0.002	25969	122
52.842	0.002	26421	12
53.674	0.002	26837	212
54.308	0.002	27154	21
54.874	0.002	27437	121
55.884	0.002	27942	11
56.386	0.002	28193	111
57.342	0.002	28671	21
57.89	0.002	28945	221
58.91	0.002	29455	21
59.61	0.002	29805	221
60.41	0.002	30205	21
60.938	0.002	30469	221
61.86	0.002	30930	22
62.346	0.002	31173	222
63.368	0.002	31684	22
63.858	0.002	31929	122
64.942	0.002	32471	11
65.498	0.002	32749	111
66.444	0.002	33222	22
67.026	0.002	33513	222
67.976	0.002	33988	12
68.37	0.002	34185	212
69.426	0.002	34713	22
69.906	0.002	34953	122
70.836	0.002	35418	11
71.178	0.002	35589	111
72.402	0.002	36201	21
73.026	0.002	36513	121
73.952	0.002	36976	22
74.602	0.002	37301	122
75.386	0.002	37693	21
75.994	0.002	37997	121
76.836	0.002	38418	12
77.578	0.002	38789	212
78.244	0.002	39122	11
78.642	0.002	39321	111
79.678	0.002	39839	11
80.17	0.002	40085	111
81.236	0.002	40618	22
81.754	0.002	40877	222
82.728	0.002	41364	11
83.122	0.002	41561	111
84.17	0.002	42085	21
84.754	0.002	42377	121
85.728	0.002	42864	21
86.562	0.002	43281	221
172.074	0.002	86037	221
177.474	0.002	88737	221
181.888	0.002	90944	21
183.17	0.002	91585	121
183.354	0.002	91677	21
184.234	0.002	92117	121
184.838	0.002	92419	21
185.514	0.002	92757	121
